,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
0,94,Addu Atoll,Maldives,Maldives,73.12000274658203,-0.7088685035705566,80896,24064
1,94,Addu Atoll,Maldives,Maldives,73.13999938964844,-0.7088685035705566,434201,24065
2,94,Addu Atoll,Maldives,Maldives,73.16000366210938,-0.7088685035705566,772471,24066
3,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.7088685035705566,410306,24067
4,94,Addu Atoll,Maldives,Maldives,73.0999984741211,-0.6888700723648071,131225,24068
5,94,Addu Atoll,Maldives,Maldives,73.12000274658203,-0.6888700723648071,494848,24069
6,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.6888700723648071,1631599,24070
7,94,Addu Atoll,Maldives,Maldives,73.19999694824219,-0.6888700723648071,668240,24071
8,94,Addu Atoll,Maldives,Maldives,73.0999984741211,-0.6688715219497681,519853,24072
9,94,Addu Atoll,Maldives,Maldives,73.13999938964844,-0.6688715219497681,700785,24073
10,94,Addu Atoll,Maldives,Maldives,73.16000366210938,-0.6688715219497681,103045,24074
11,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.6688715219497681,459373,24075
12,94,Addu Atoll,Maldives,Maldives,73.19999694824219,-0.6688715219497681,1657826,24076
13,94,Addu Atoll,Maldives,Maldives,73.22000122070312,-0.6688715219497681,1096110,24077
14,94,Addu Atoll,Maldives,Maldives,73.23999786376953,-0.6688715219497681,340315,24078
15,94,Addu Atoll,Maldives,Maldives,73.08000183105469,-0.6488728523254395,361830,24079
16,94,Addu Atoll,Maldives,Maldives,73.0999984741211,-0.6488728523254395,1974472,24080
17,94,Addu Atoll,Maldives,Maldives,73.13999938964844,-0.6488728523254395,360888,24081
18,94,Addu Atoll,Maldives,Maldives,73.18000030517578,-0.6488728523254395,349214,24082
19,94,Addu Atoll,Maldives,Maldives,73.19999694824219,-0.6488728523254395,807332,24083
20,94,Addu Atoll,Maldives,Maldives,73.23999786376953,-0.6488728523254395,653291,24084
21,94,Addu Atoll,Maldives,Maldives,73.08000183105469,-0.6288741230964661,795999,24085
